driverId,week,hours-logged,miles-logged
72,3,61,1900
40,41,61,2300
53,3,74,2700
16,15,77,0
67,8,78,3400
66,11,50,0
94,40,70,2000
77,8,80,2400
57,33,58,900
92,28,62,1700
98,4,51,1100
24,38,60,1200
78,47,74,600
10,49,53,800
44,15,55,1300
106,3,64,3900
38,40,74,900
44,9,52,2000
35,8,76,1900
102,17,63,2100
78,30,68,700
36,34,60,1600
59,1,56,3400
66,9,73,2200
30,12,60,700
22,47,52,3900
95,49,54,2700
19,25,57,2100
89,41,58,1000
23,5,69,1100
35,51,59,2500
48,33,63,2400
81,12,63,2200
109,23,61,2200
107,27,62,0
95,20,66,2800
56,1,54,2700
33,51,69,1700
80,47,53,2400
87,11,54,3100
66,19,76,3600
105,49,80,2900
22,19,60,2400
96,39,67,1100
65,38,79,500
22,15,79,500
17,47,63,1900
26,22,61,900
97,41,54,1700
81,39,59,2100
85,8,58,3900
64,36,59,3800
34,21,78,2100
76,44,69,1800
47,16,70,600
103,34,66,3600
39,22,64,200
16,50,62,2100
34,1,69,3600
33,24,63,900
99,17,70,3300
85,35,63,1000
17,33,79,400
78,41,73,400
88,12,57,2000
38,49,51,2100
19,15,69,3800
45,13,72,3700
25,33,80,600
79,29,52,100
28,12,57,3300
91,51,66,3100
74,1,80,2900
13,23,62,2100
12,52,63,2900
99,50,77,2200
63,12,55,200
41,41,56,1000
76,35,65,400
76,41,51,1400
79,5,70,2200
11,16,71,1100
29,12,53,700
107,31,74,1400
90,38,62,3500
27,10,57,1700
37,22,64,3500
11,30,76,3300
67,36,72,2500
78,50,52,300
16,33,63,1900
13,21,65,2300
36,17,55,100
78,48,78,900
33,11,66,100
39,29,71,3300
46,21,54,1700
37,44,60,600
27,7,63,2800
14,29,52,3100
36,51,71,2400
35,25,71,3000
89,28,61,3500
13,22,78,1500
15,18,59,100
23,11,80,900
36,29,68,1600
71,4,63,3000
52,26,60,800
73,7,55,1100
21,31,60,100
84,42,68,4000
34,9,50,1700
26,9,71,1000
103,13,62,1900
45,24,51,300
65,28,72,500
91,19,74,1200
54,34,64,600
43,49,65,3300
28,21,62,600
76,8,51,200
89,51,57,700
18,8,50,3400
83,34,68,1100
86,33,70,2200
58,12,58,2600
41,30,69,3800
101,11,73,900
98,42,52,0
71,3,62,900
36,2,54,1400
105,29,74,2200
17,52,53,1500
98,11,62,600
32,15,65,1900
106,26,71,900
41,26,58,2200
19,13,50,2700
71,24,73,3300
38,27,61,300
26,10,66,3300
51,45,58,2500
41,4,71,2100
31,45,76,2600
47,36,60,2300
72,23,52,4000
62,45,65,3900
31,19,73,700
98,22,75,900
57,34,72,3400
46,36,79,300
77,2,79,2300
40,6,79,100
42,19,80,2600
76,51,50,900
77,29,75,600
78,48,53,2400
84,1,61,2900
106,19,67,1000
40,44,62,3500
97,22,59,1700
13,49,72,3900
47,21,55,200
80,51,77,2800
20,42,68,3600
10,19,76,1200
88,26,71,900
36,50,57,2500
18,47,58,1900
63,23,59,200
102,48,80,2000
82,8,67,3800
35,39,72,3600
38,6,79,3600
14,38,61,3200
38,5,73,200
92,6,52,400
79,26,56,3600
86,42,54,500
92,28,65,300
81,25,68,3600
22,28,68,600
10,42,65,100
30,11,74,1300
36,26,60,3600
108,14,78,3000
85,31,56,700
66,2,64,1400
18,11,67,3800
47,32,53,700
22,45,54,1600
81,44,64,2000
18,2,73,2600
99,8,74,1000
61,36,66,400
89,20,69,3400
77,30,53,1000
14,21,56,2900
85,48,71,2200
54,40,74,2900
27,49,70,1800
19,51,64,300
75,41,56,3700
54,16,78,400
105,21,58,200
73,23,73,900
20,27,63,3200
91,5,70,3800
76,5,59,0
46,48,71,2200
93,35,61,1400
69,9,76,3600
16,41,50,100
77,47,67,3700
104,8,68,300
86,46,51,600
49,18,59,1500
93,38,63,800
88,19,57,1600
45,5,50,3900
53,39,76,2700
10,28,64,0
109,23,66,3500
76,35,74,1500
26,16,50,1600
15,41,69,3800
107,34,75,2200
92,45,55,1500
59,20,54,3000
59,50,68,1800
40,2,65,1700
52,21,76,1300
92,29,60,1900
28,22,68,1600
107,33,51,2000
83,12,52,500
106,27,80,3800
66,48,69,300
18,30,65,1200
76,22,68,1100
47,32,71,1500
42,36,52,2800
49,20,73,3800
108,48,62,3100
73,8,52,1900
62,1,50,2300
39,22,73,2400
73,12,53,1000
60,35,58,1900
52,34,61,1600
51,4,61,2000
10,43,62,3900
104,12,69,0
22,19,69,3800
58,45,79,2300
85,19,75,3700
25,42,79,1300
97,15,56,3800
16,48,66,0
46,26,60,200
22,11,66,2500
103,46,76,2900
32,10,76,200
55,6,62,2200
44,31,54,2400
27,38,71,1200
108,9,56,200
76,20,78,1100
66,45,54,2100
108,33,75,3700
60,17,69,600
68,26,72,600
66,29,61,900
63,23,69,2600
90,35,51,900
42,41,76,3600
22,29,76,400
62,14,74,2100
21,13,64,1200
35,31,55,300
15,37,52,500
31,50,59,3500
53,13,57,1400
26,5,62,2500
66,50,69,3600
47,31,54,2100
17,47,53,2400
94,5,63,3200
90,40,61,1500
102,19,79,4000
90,3,71,1300
39,16,53,800
75,32,50,1400
20,11,53,200
72,6,57,2800
64,45,67,3900
92,34,72,1100
32,39,77,2900
63,18,69,3800
29,49,52,400
88,27,55,3200
82,50,54,900
70,37,69,1900
23,13,70,900
75,47,70,300
32,31,74,700
12,40,52,3900
10,45,63,2600
101,39,77,2600
17,44,69,2800
19,28,60,2300
37,2,68,900
74,46,68,2900
64,29,54,2300
50,42,54,1700
55,13,66,2800
16,6,68,200
74,42,53,500
79,19,50,1500
30,42,74,3800
17,47,72,3000
40,9,51,900
56,25,73,200
103,51,66,1900
41,48,50,3900
104,35,66,3400
70,41,64,1500
30,12,72,1000
12,48,76,500
20,28,58,1300
90,23,68,2400
45,49,67,4000
67,1,62,2500
96,25,80,3400
51,19,66,1200
41,23,68,3300
62,32,70,200
42,7,55,3000
31,31,78,2900
73,32,54,3900
84,21,62,300
83,42,56,2800
59,37,66,1700
103,50,62,2500
68,4,58,100
23,49,77,2800
88,49,74,1900
15,2,50,1100
82,28,75,300
16,34,73,3200
52,1,59,3800
94,18,75,3200
93,19,75,2600
44,17,50,3400
97,48,60,200
24,1,55,1300
90,44,55,100
61,51,55,3700
76,9,55,0
96,39,62,1700
31,3,69,2600
101,28,70,2400
89,35,80,3300
92,36,78,3700
47,49,69,1300
37,41,67,3200
95,19,64,100
92,2,63,600
82,49,66,1500
15,27,52,3500
35,22,72,2500
104,13,72,3100
102,10,80,3800
36,45,65,3600
70,41,79,2000
38,21,77,2100
14,11,71,1500
48,31,69,1500
74,4,65,2600
30,3,75,1400
36,8,64,900
74,5,50,1400
77,26,69,3400
29,45,50,2800
19,34,57,700
93,16,74,1800
61,39,61,900
53,11,79,200
96,9,59,1400
10,48,68,2600
108,4,51,3200
63,2,66,1200
28,26,57,4000
34,4,71,2800
96,1,57,1500
46,34,56,2000
37,21,68,1400
77,11,57,1000
88,15,79,1200
41,41,56,3400
21,30,50,1500
79,48,72,2900
62,36,78,1900
101,40,76,1500
104,40,61,600
81,51,62,3600
92,38,50,3800
72,10,69,2700
103,48,77,3400
50,49,55,2800
19,7,51,3800
103,30,76,600
11,41,50,3800
21,4,71,2400
68,27,79,2300
106,11,57,2400
49,5,79,800
13,28,66,1000
25,35,51,1700
56,44,75,1700
46,16,58,1000
46,41,58,1300
42,21,70,1600
22,43,63,900
54,16,62,3500
47,22,51,2100
101,9,58,200
31,24,50,600
20,24,57,100
90,16,69,3900
93,15,57,4000
104,26,77,2500
20,52,56,1100
64,47,51,400
16,24,58,500
78,37,61,3900
34,27,54,3400
21,32,76,2400
88,4,56,2700
98,32,64,2900
30,17,68,1300
58,12,50,3400
107,10,74,100
76,11,77,3300
41,38,53,3500
17,20,60,3000
24,51,61,3600
33,2,70,600
21,45,58,1200
38,25,57,1800
62,49,55,1400
101,29,71,3900
42,43,56,2600
21,18,67,1700
73,38,79,3700
91,28,71,200
50,33,70,1700
81,34,79,1200
96,21,65,2800
32,4,55,1900
19,19,57,1000
44,20,70,3600
51,47,67,3500
46,16,67,3200
91,50,75,1400
15,15,75,3300
38,48,60,2900
103,18,68,1000
12,44,54,600
53,51,57,1500
28,26,53,100
94,20,76,900
30,34,60,3300
47,44,63,2000
23,10,65,3800
12,12,68,2500
76,31,62,3600
15,25,74,1700
36,47,80,1700
28,12,74,3300
23,40,63,2500
70,15,78,2600
109,40,79,800
24,26,51,1400
51,51,61,2400
53,40,60,2500
31,46,67,1800
95,25,79,3100
102,50,78,200
35,15,80,3300
11,18,80,2500
92,7,63,2400
21,34,63,1500
74,36,71,700
66,51,76,2200
72,11,77,1500
10,4,54,2400
20,19,66,100
12,12,53,2000
21,38,74,600
79,23,74,300
59,21,74,1400
83,9,68,3400
12,8,59,800
102,17,67,1700
57,39,74,2200
100,46,62,500
32,4,55,500
97,32,51,2000
36,33,71,2600
80,45,75,2600
57,21,56,1700
56,6,58,3600
76,2,67,1500
41,10,55,700
81,41,80,1400
100,34,53,1300
65,14,62,4000
72,17,70,2100
98,51,70,1400
20,40,77,1500
59,5,64,1800
35,27,51,1600
65,46,68,2000
49,22,55,600
71,41,59,1600
32,40,56,2300
103,25,76,2000
89,17,65,2300
104,29,79,200
25,47,64,2700
39,3,72,2800
62,31,80,3400
88,42,59,1100
22,35,51,3800
46,33,65,700
58,15,71,2600
60,12,80,1500
54,22,64,3300
90,22,52,3200
34,36,77,1000
89,15,72,2000
97,21,73,2800
54,22,56,2600
107,40,54,3900
77,10,56,2200
68,41,69,2500
79,25,68,2800
66,9,69,2800
60,52,65,3900
66,42,56,3600
43,45,69,3400
105,25,70,3600
